"Start";"Duration";"Pitch";"Velocity";"Instrument"
0.5;0.5;43.0;0.7086600000000001;"Piano (2)"
0.5;0.5;55.0;1.0;"Piano (2)"
0.5;0.5;67.0;1.0;"Piano (2)"
1.0;0.5;43.0;0.7086600000000001;"Piano (2)"
1.0;0.5;55.0;1.0;"Piano (2)"
1.0;0.5;67.0;1.0;"Piano (2)"
1.5;0.5;43.0;0.7086600000000001;"Piano (2)"
1.5;0.5;55.0;1.0;"Piano (2)"
1.5;0.5;67.0;1.0;"Piano (2)"
2.0;2.0;39.0;0.7086600000000001;"Piano (2)"
2.0;2.0;51.0;0.7086600000000001;"Piano (2)"
2.0;2.0;63.0;1.0;"Piano (2)"
