"";"Start";"End";"Pitch";"Velocity";"Instrument"
101;"21.000";"0.500";"68.000";"0.496";"Viola (2)"
102;"21.500";"0.500";"68.000";"0.496";"Viola (2)"
103;"22.000";"2.000";"59.000";"0.496";"Bassoon"
104;"22.000";"2.000";"59.000";"0.496";"Bassoon"
105;"22.000";"2.000";"59.000";"0.496";"Violoncello (2)"
106;"22.000";"2.000";"62.000";"0.496";"Violin II"
107;"22.000";"2.000";"67.000";"0.496";"Viola (2)"
108;"22.500";"0.500";"77.000";"0.496";"Violin I"
109;"23.000";"0.500";"77.000";"0.496";"Violin I"
110;"23.500";"0.500";"77.000";"0.496";"Violin I"
111;"24.000";"2.000";"59.000";"0.496";"Bassoon"
112;"24.000";"2.000";"59.000";"0.496";"Bassoon"
113;"24.000";"2.000";"59.000";"0.496";"Violoncello (2)"
114;"24.000";"2.000";"62.000";"0.496";"Viola (2)"
115;"24.000";"2.000";"67.000";"0.496";"Violin II"
116;"24.000";"2.000";"74.000";"0.496";"Violin I"
117;"26.000";"2.000";"59.000";"0.496";"Bassoon"
118;"26.000";"2.000";"59.000";"0.496";"Bassoon"
119;"26.000";"2.000";"59.000";"0.496";"Violoncello (2)"
120;"26.000";"2.000";"62.000";"0.496";"Viola (2)"
121;"26.000";"2.000";"67.000";"0.496";"Violin II"
122;"26.000";"0.500";"74.000";"0.496";"Violin I"
123;"26.500";"0.500";"79.000";"0.496";"Violin I"
124;"27.000";"0.500";"79.000";"0.496";"Violin I"
125;"27.500";"0.500";"77.000";"0.496";"Violin I"
126;"28.000";"2.000";"60.000";"0.496";"Bassoon"
127;"28.000";"2.000";"60.000";"0.496";"Bassoon"
128;"28.000";"2.000";"60.000";"0.496";"Violoncello (2)"
129;"28.000";"0.500";"63.000";"0.496";"Viola (2)"
130;"28.000";"0.500";"67.000";"0.496";"Violin II"
131;"28.000";"2.000";"75.000";"0.496";"Violin I"
132;"28.500";"0.500";"63.000";"0.496";"Violin II"
133;"28.500";"0.500";"63.000";"0.496";"Viola (2)"
134;"29.000";"0.500";"63.000";"0.496";"Violin II"
135;"29.000";"0.500";"63.000";"0.496";"Viola (2)"
136;"29.500";"0.500";"65.000";"0.496";"Violin II"
137;"29.500";"0.500";"65.000";"0.496";"Viola (2)"
138;"30.000";"2.000";"59.000";"0.496";"Bassoon"
139;"30.000";"2.000";"59.000";"0.496";"Bassoon"
140;"30.000";"2.000";"59.000";"0.496";"Violoncello (2)"
141;"30.000";"2.000";"67.000";"0.496";"Violin II"
142;"30.000";"2.000";"67.000";"0.496";"Viola (2)"
143;"30.000";"0.500";"74.000";"0.496";"Violin I"
144;"30.500";"0.500";"79.000";"0.496";"Violin I"
145;"31.000";"0.500";"79.000";"0.496";"Violin I"
146;"31.500";"0.500";"77.000";"0.496";"Violin I"
147;"32.000";"2.000";"60.000";"0.496";"Bassoon"
148;"32.000";"2.000";"60.000";"0.496";"Bassoon"
149;"32.000";"2.000";"60.000";"0.496";"Violoncello (2)"
150;"32.000";"0.500";"67.000";"0.496";"Violin II"
151;"32.000";"0.500";"67.000";"0.496";"Viola (2)"
152;"32.000";"2.000";"75.000";"0.496";"Violin I"
153;"32.500";"0.500";"63.000";"0.496";"Violin II"
154;"32.500";"0.500";"63.000";"0.496";"Viola (2)"
155;"33.000";"0.500";"63.000";"0.496";"Violin II"
156;"33.000";"0.500";"63.000";"0.496";"Viola (2)"
157;"33.500";"0.500";"65.000";"0.496";"Violin II"
158;"33.500";"0.500";"65.000";"0.496";"Viola (2)"
159;"34.000";"0.500";"59.000";"0.496";"Bassoon"
160;"34.000";"0.500";"59.000";"0.496";"Bassoon"
161;"34.000";"0.500";"59.000";"0.496";"Violoncello (2)"
162;"34.000";"0.500";"67.000";"0.496";"Violin II"
163;"34.000";"1.500";"67.000";"0.496";"Viola (2)"
164;"34.000";"0.500";"74.000";"0.496";"Violin I"
165;"34.500";"0.500";"43.000";"0.496";"Timpani"
166;"34.500";"0.500";"47.000";"0.496";"Contrabass (2)"
167;"34.500";"0.500";"55.000";"0.496";"Trumpet in C"
168;"34.500";"0.500";"57.000";"1.000";"Clarinet in B^b"
169;"34.500";"0.500";"59.000";"0.496";"Bassoon"
170;"34.500";"0.500";"59.000";"0.496";"Bassoon"
171;"34.500";"0.500";"59.000";"0.496";"Violoncello (2)"
172;"34.500";"0.500";"61.000";"1.000";"Clarinet in B^b"
173;"34.500";"0.500";"67.000";"0.496";"Trumpet in C"
174;"34.500";"0.500";"74.000";"0.496";"Oboe"
175;"34.500";"0.500";"74.000";"0.496";"Violin II"
176;"34.500";"0.500";"76.000";"0.496";"Horn in E^b (2)"
177;"34.500";"0.500";"76.000";"0.496";"Horn in E^b (2)"
178;"34.500";"0.500";"79.000";"0.496";"Oboe"
179;"34.500";"0.500";"79.000";"0.496";"Violin I"
180;"34.500";"0.500";"86.000";"0.496";"Flute (2)"
181;"34.500";"0.500";"91.000";"0.496";"Flute (2)"
182;"35.000";"0.500";"43.000";"0.496";"Timpani"
183;"35.000";"0.500";"47.000";"0.496";"Contrabass (2)"
184;"35.000";"0.500";"55.000";"0.496";"Trumpet in C"
185;"35.000";"0.500";"59.000";"0.496";"Bassoon"
186;"35.000";"0.500";"59.000";"0.496";"Bassoon"
187;"35.000";"0.500";"59.000";"0.496";"Violoncello (2)"
188;"35.000";"0.500";"61.000";"1.000";"Clarinet in B^b"
189;"35.000";"0.500";"64.000";"1.000";"Clarinet in B^b"
190;"35.000";"0.500";"67.000";"0.496";"Trumpet in C"
191;"35.000";"0.500";"74.000";"0.496";"Oboe"
192;"35.000";"0.500";"74.000";"0.496";"Violin II"
193;"35.000";"0.500";"76.000";"0.496";"Horn in E^b (2)"
194;"35.000";"0.500";"76.000";"0.496";"Horn in E^b (2)"
195;"35.000";"0.500";"79.000";"0.496";"Oboe"
196;"35.000";"0.500";"79.000";"0.496";"Violin I"
197;"35.000";"0.500";"86.000";"0.496";"Flute (2)"
198;"35.000";"0.500";"91.000";"0.496";"Flute (2)"
199;"35.500";"0.500";"43.000";"0.496";"Timpani"
200;"35.500";"0.500";"47.000";"0.496";"Contrabass (2)"
201;"35.500";"0.500";"55.000";"0.496";"Trumpet in C"
202;"35.500";"0.500";"59.000";"0.496";"Bassoon"
203;"35.500";"0.500";"59.000";"0.496";"Bassoon"
204;"35.500";"0.500";"59.000";"0.496";"Violoncello (2)"
205;"35.500";"0.500";"62.000";"0.496";"Viola (2)"
206;"35.500";"0.500";"64.000";"1.000";"Clarinet in B^b"
207;"35.500";"0.500";"67.000";"0.496";"Trumpet in C"
208;"35.500";"0.500";"67.000";"0.496";"Violin II"
209;"35.500";"0.500";"69.000";"1.000";"Clarinet in B^b"
210;"35.500";"0.500";"74.000";"0.496";"Oboe"
211;"35.500";"0.500";"76.000";"0.496";"Horn in E^b (2)"
212;"35.500";"0.500";"76.000";"0.496";"Horn in E^b (2)"
213;"35.500";"0.500";"77.000";"0.496";"Oboe"
214;"35.500";"0.500";"77.000";"0.496";"Violin I"
215;"35.500";"0.500";"86.000";"0.496";"Flute (2)"
216;"35.500";"0.500";"89.000";"0.496";"Flute (2)"
217;"36.000";"1.000";"48.000";"0.992";"Timpani"
